-73099	44214.553250	44214.553334	44214.553179	44214.553263	2444214.553250	6.15	8.16	6.15
-73098	44214.615620	44214.615704	44214.615542	44214.615626	2444214.615620	6.77	8.16	6.77
-73097	44214.677980	44214.678064	44214.677904	44214.677989	2444214.677980	6.53	8.16	6.53
-61017	44968.023090	44968.023174	44968.021043	44968.021127	2444968.023090	176.85	92.28	176.85
-61002	44968.957120	44968.957204	44968.956486	44968.956570	2444968.957120	54.80	92.28	54.80
-61001	44969.019620	44969.019704	44969.018849	44969.018933	2444969.019620	66.65	92.28	66.65
-60841	44978.997550	44978.997634	44978.996903	44978.996988	2444978.997550	55.87	92.28	55.87
-60602	44993.900780	44993.900864	44993.901623	44993.901707	2444993.900780	-72.81	52.32	-72.81
-60601	44993.963280	44993.963364	44993.963986	44993.964070	2444993.963280	-60.96	52.32	-60.96
-60600	44994.026420	44994.026504	44994.026348	44994.026433	2444994.026420	6.18	52.32	6.18
-60169	45020.905130	45020.905214	45020.904734	45020.904818	2445020.905130	34.25	12.62	34.25
-60153	45021.902920	45021.903004	45021.902539	45021.902623	2445021.902920	32.91	12.62	32.91
-60106	45024.833860	45024.833944	45024.833593	45024.833677	2445024.833860	23.10	52.32	23.10
-48767	45731.966400	45731.966484	45731.965865	45731.965949	2445731.966400	46.23	22.37	46.23
-48256	45763.833730	45763.833814	45763.833277	45763.833362	2445763.833730	39.10	3.74	39.10
-46796	45854.882800	45854.882884	45854.883028	45854.883112	2445854.882800	-19.67	92.26	-19.67
-43588	46054.942310	46054.942394	46054.943027	46054.943111	2446054.942310	-61.93	92.25	-61.93
-43075	46086.935650	46086.935734	46086.935165	46086.935249	2446086.935650	41.90	5.27	41.90
-43074	46086.997960	46086.998044	46086.997528	46086.997612	2446086.997960	37.34	5.27	37.34
-3410	48560.557800	48560.557884	48560.557317	48560.557401	2448560.557800	41.75	3.78	41.75
16	48774.212930	48774.213014	48774.212415	48774.212500	2448774.212930	44.45	2.78	44.45
5848	49137.912940	49137.913024	49137.912514	49137.912598	2449137.912940	36.85	2.79	36.85
5945	49143.962140	49143.962224	49143.961709	49143.961794	2449143.962140	37.22	2.79	37.22
5946	49144.024380	49144.024464	49144.024072	49144.024156	2449144.024380	26.60	2.79	26.60
5947	49144.086890	49144.086974	49144.086435	49144.086519	2449144.086890	39.32	2.79	39.32
5961	49144.960050	49144.960134	49144.959515	49144.959599	2449144.960050	46.25	2.79	46.25
5962	49145.022350	49145.022434	49145.021878	49145.021962	2449145.022350	40.82	2.79	40.82
5963	49145.084540	49145.084624	49145.084240	49145.084325	2449145.084540	25.88	2.79	25.88
5964	49145.147110	49145.147194	49145.146603	49145.146688	2449145.147110	43.78	2.79	43.78
49670	51870.776880	51870.776964	51870.777002	51870.777086	2451870.776880	-10.54	3.79	-10.54
49672	51870.901630	51870.901714	51870.901728	51870.901812	2451870.901630	-8.44	3.79	-8.44
56307	52284.678997	52284.679081	52284.679188	52284.679273	2452284.678997	-16.53	7.42	-16.53
