-73099 44214.55325 0.00017361
-73098 44214.61562 0.00017361
-73097 44214.67798 0.00017361
-61017 44968.02309 0.00115741
-61002 44968.95712 0.00115741
-61001 44969.01962 0.00115741
-60841 44978.99755 0.00115741
-60602 44993.90078 0.00069444
-60601 44993.96328 0.00069444
-60600 44994.02642 0.00069444
-60169 45020.90513 0.00023148
-60153 45021.90292 0.00023148
-60106 45024.83386 0.00069444
-48767 45731.96640 0.00034722
-48256 45763.83373 0.00005787
-46796 45854.88280 0.00115741
-43588 46054.94231 0.00115741
-43075 46086.93565 0.00003472
-43074 46086.99796 0.00003472
-3410 48560.55780 0.00004630
16 48774.21293 0.00005787
5848 49137.91294 0.00005787
5945 49143.96214 0.00005787
5946 49144.02438 0.00005787
5947 49144.08689 0.00005787
5961 49144.96005 0.00005787
5962 49145.02235 0.00005787
5963 49145.08454 0.00005787
5964 49145.14711 0.00005787
49670 51870.77688 0.00005787
49672 51870.90163 0.00005787
56307 52284.678997 0.000011
56308 52284.741363 0.000017
98482 54914.832280 0.000012
98483 54914.894663 0.000014
98514 54916.827926 0.000017
98560 54919.696603 0.000017
98577 54920.756784 0.000016
98607 54922.627668 0.000016
98608 54922.690017 0.000010
98609 54922.752365 0.000010
98610 54922.814727 0.000011
98850 54937.781831 0.000016
98851 54937.844195 0.000012
98865 54938.717285 0.000015
98866 54938.779611 0.000010
98896 54940.650507 0.000027
98897 54940.712869 0.000011
98898 54940.775243 0.000028
98899 54940.837637 0.000024
98914 54941.773045 0.000014
98915 54941.835408 0.000025
98928 54942.646122 0.000011
98930 54942.770852 0.000012
98931 54942.833221 0.000012
98932 54942.895591 0.000032
98945 54943.706304 0.000010
98946 54943.768653 0.000012
98947 54943.831008 0.000017
99377 54970.647033 0.000041
99378 54970.709414 0.000042
99746 54993.658926 0.000015
99826 54998.647982 0.000023
99938 55005.632601 0.000026
102028 55135.970976 0.000023
102364 55156.924900 0.000023
102365 55156.987244 0.000020
102380 55157.922708 0.000028
102397 55158.982865 0.000024
102428 55160.916107 0.000018
102429 55160.978466 0.000016
102444 55161.913906 0.000022
102445 55161.976285 0.000027
102460 55162.911738 0.000033
103150 55205.942102 0.000014
103151 55206.004463 0.000014
103166 55206.939920 0.000012
103167 55207.002308 0.000015
103197 55208.873171 0.000016
103213 55209.870977 0.000009
103214 55209.933305 0.000018
103215 55209.995687 0.000014
103263 55212.989111 0.000019
103775 55244.918892 0.000010
103776 55244.981257 0.000018
103808 55246.976864 0.000015
106096 55389.663079 0.000022
